title,fraudulent,text
Lawn and Maintenance Contractors ,1,"Lawn and Maintenance Contractors   We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following: - Grass Cuts - General Repairs / Perform per bid approvals - Trash Outs (Debris Removal) - Eviction Services - Initial Secures/Securing (replacing locks) - Winterizations - Boarding - Mold Remediation - Cash for Keys - Janitorial Cleaning of home interior  **NOTE: You must have the necessary tools for perform any of the above tasks**SUBJECT TO PASS A BACKGROUND CHECK** If you know how to perform WINTERIZATION in property is a plus. You must have a Digital Camera with to take photographs supporting work done. We also require the use of email. This work is time sensitive, so a strong work ethic is preferred. **NOTE: Please be sure to include your full name, the City where you are located at and phone number and email in order to be considered for the position.  If your name, phone #, and email are not in the response, your response will be deleted.  Thanks and we look forward to hearing from you! As per job"
Operations Controller,0,"Operations Controller  The role of the Operations Controller is to lead, manage and direct Operations through a team of FLMs to deliver a timely and efficient service to my clients customers.As a key member of the Senior Management Team, the Operations Controller will contribute significantly to the strategic plan of the company to deliver flexibility, service and cost to our customer in-line with the company vision.Skills RequiredWarehousing and Distribution backgroundExperience of e-commerce / direct fulfilmentExcellent man management skillsExperience of managing a large team for all inbound and outbound activitiesExperience of budget management and productivity monitoringResource planning, management and controlEffective communication skills and a team playerStrong leadership skillsCommercially astute, highly motivated, organised and flexibleAbility to work under pressureSo if you feel this role is for you, please send your CV or feel free to call Darren Curley for more details.    "
Project Engineer,1,"Project Engineer                                                                                  Staffing &amp; Recruiting done right for the Oil &amp; Energy Industry!Represented candidates are automatically granted the following perks: Expert negotiations on your behalf, maximizing your compensation package and implimenting ongoing increases Significant signing bonus by Refined Resources (in addition to any potential signing bonuses our client companies offer)1 Year access to AnyPerk: significant corporate discounts on cell phones, event tickets, house cleaning and everything inbetween.  You'll save thousands on daily expenditures Professional Relocation Services for out of town candidates* All candidates are encouraged to participate in our Referral Bonus Program ranging anywhere from $500 - $1,000 for all successfully hired candidates... referred directly to the Refined Resources teamPlease submit referrals via online Referral FormThank you and we look forward to working with you soon!  [ Click to enlarge Image ] JOB DESCRIPTION: PROJECT ENGINEERDesign and install minor and major capital projects. Prepare specifications, drawings, bid packages, quotation analysis and other applicable documents for purchase, construction, and repair of refinery facilities. Supervise the activities of contract engineering and construction personnel.Lead projects from the feasibility phase through design, construction, startup, and close out phases. The Project Engineer will be responsible for completing the projects on time, within the budget, and adherence to the design specifications.Provide timely and accurate engineering designs. Apply good safety and environmental practices in all engineering recommendationsB.S. in Mechanical Engineering required with 3 to 10 years experience in Refining or Petrochemical sectors. Excellent wage/benefit package available. B.S. in Mechanical Engineering required with 3 to 10 years experience in Refining or Petrochemical sectors.  Excellent wage/benefit package available."
Oil/Gas Asset Manager,1,"Oil/Gas Asset Manager  Position SummaryThe Asset Manager will plan, develop and execute on a wide variety of projects, across a number of functional areas including Technical Services, Operations, and Maintenance. This person will provide strategic oversight and management of masts and substructures for the company while also working closely with teammates to provide support, collaboration, and strategic vision. This role requires a collaborative, goal-oriented and solution-based approach to successfully manage a wide range of assigned critical projects while meeting time sensitive objectives.Key Responsibilities:Coordinate with Regional Operations and field support teams to achieve company objectives. Serve as the primary point of contact for Equipment Manufacturers to adequately track project status; distribute product line bulletins; collect and disseminate lessons learned; and confirm implementation across the Company. Establish, coordinate, and maintain company warranty processes and guidelines. Develop and maintain quality product review processes, utilizing cross-functional teams (internal and external) to analyze equipment data. Define, produce and communicate KPI results across the company at set intervals for required equipment; Track real-time status of project deployment and providing regular reports to internal and external Company stakeholders. Develop processes that work within the MOC (Management of Change) policy to ensure the standardization of equipment. Lead the responsibility for identifying and managing quantity and quality of project deliverables within established project deadlines. Develop and implement maintenance plans and policies for all company owned critical equipment. Develop maintenance program budgets Develop AFE (Approval for Expenditure) and purchasing processes; forecasts, and track and report on costs Produce trending analysis to assess the effectiveness of maintenance programs and procedures. Develop a critical spares strategy; monitor and oversee implementation in the field. Establish asset critical spare parts to minimize financial impact and non-productive time while maximizing regional/rig efficiencies. Serve as subject matter expert for company support. Minimum Qualifications:The ideal candidate will have sufficient project management skills to coordinate over $1M+ in orders and be able to develop the required processes to support the efficient operation of cross functional teams. The candidate should possess the following skills: Solid depth of experience in a technical field or related industry 3-4 years' experience in a project management role Proven ability to initialize, plan, execute, control and monitor a project Ability to understand cost-to completion projections and makes decisions accordingly Ability to develop forecasts and establish and manage budgets Ability to use a variety of techniques and tools to manage the project scope, cost, schedule, contractual deliverables and devise contingency plans to ensure Ability to analyze failure and reliability rates Ability to drive performance through effective leadership, decision-making, and problem-solving skills Must possess effective verbal and written communication skills and have the ability to engage with all levels of management, colleagues, and with individuals inside and outside of the Company. Must possess strong computer skills with a proven ability to utilize Microsoft Office Software, e.g. MS Word, Power Point, Projects, Visio, Excel etc., and other discipline specific-software applications to drive efficiency in productivity. Must be eligible to drive a company vehicle and meet the requirements of the company vehicle use agreement and driving policyPreferred Qualifications:BS degree in Mechanical EngineeringRelevant experience in the oil and gas and/or electrical industries will be of particular interest.Work Environment This position requires the person to be able to work in a time sensitive, high visible role and regularly travel as needed to support business units and visit work sites. It may also require extended travel to remote locations and/or overnight stay(s) during variable hours. Variable work hours includes hours worked on the weekend , on holiday s, and hours to travel within and outside of the assigned region.The Asset Manager must work with an emphasis on planning, multitasking and prioritization to maximize efficiency of the team . Must be able to work closely with others and manage customer interaction in a professional manner. Ability to safely navigate work sites with occasional walking, climbing, standing, stepping, etc., during normal operating conditions (day/night, outdoor hot/cold weather) and while utilizing designated personal protective equipment (PPE).APPLICANT REQUIREMENTS:In order to apply for this position, applicants MUST meet the following criteria. If your resume does not match these criteria, you will not be able to apply for this position. "
Admin Assistant\Urgently,1,"Admin Assistant\Urgently  The company is seeking an Admin assistant to join their team! As traineeship. Relevant on job training will be provided.  Position is Part- Time Start ASAP  Duties include:  Meet and greet clients  Preparing files  Receive phone calls  Receiving emails and reply emails from reception ( instructions will be given) The successful candidate will be able to demonstrate:-Excellent communication skills, Technical Contractual and Negotiating skills.-Knowledge of application software including Word, Excel and Outlook from the microsoft Office suite (2007).-Strong team based work ethic.-Thrives on challenges and is accountable.This job will be suitable for school leavers who are looking their career. If you are interested in applying for the position, please send resume with your full name and email to #EMAIL_bf7aada68f2ebd311c3cb873b1867e0c531121ccdc5392441c6cea7a5d852d06#  "
Network Marketing,1,"Network Marketing  Are you looking to make anywhere from 600-115,000$ a month? Are you looking to be paid to take vacations? Are you tired of working a 9-5 with no ability to grow in your field. Do you want to be your own boss and set your own schedule of when you work? If you answer yes to any of these than we have the perfect opportunity for you. Our company is based on 3 principles 1.Saving Money 2.Making Money 3.Managing Money. We offer financial soulutions to help you live financially free while making money showing others. We have over 5,800 national brand retailers where we recieve discounts. An ambition to succeed, A desire to be the best at our field and not be discourage when people turn you down. If you have these qualities than you are perfect for this business Residual Income, Travel dollars, Car Dollars, the ability to rise in pay grade rapidly"
Sourcing Specialist ,0,"Sourcing Specialist  QB Medical Inc. is a medical supply distributor located in Chula Vista, CA. Founded in 2005, we now services over 100 government-funded medical centers. QB Medical is passionate about discovering the most effective medical products for our military service members, veterans, government healthcare providers and patients. About Us:QB Medical Inc. is a medical supply distributor established in 2007. We specialize in medical equipment and supply distribution into federal healthcare facilities. We hold various contracts that allow us the ability to effectively sell and be successful in the federal healthcare market.Responsibilities:Work with medical manufacturers sales reps and customer service departmentPerform independent research to gain medical product knowledge, federal contracting regulations and processesAnalyze and interpret spreadsheets and various data sourcesIdentify new sources and establish accounts to expand access to medical products and competitive pricingFollow established operating procedures and adjust quickly to new proceduresFlexible and open to changing priorities and managing multiple tasks simultaneously within compressed time framesPerform other related duties as assignedProject a positive company image at all times Education:2-4 year college degree preferredPreferred Requirements:1-2 years of relevant work experienceExcellent  written/verbal/phone communication skillsStrong critical thinking skillsExcellent time management skillsFlexibility to adjust to the changing needs of a growing businessExperience with #URL_8d92932a488fb7e172d73a0f6813d06d464f1f03705d2825f86b2c7947d60a86# or similar CRMMedical product knowledgeData entry and analysis experiencePC Skills – MS Office Suite, detailed web search, etc.40+ WPM Compensation:$15 - $17/hour DOEPosition Type:Full-Time"
iOS Developer,0,"iOS Developer Nubank is an early stage, technology-driven financial services startup funded by Sequoia Capital and Kaszek Ventures. We are building a truly global and diverse team, with people who are in the top of their areas of expertise for every position we hire, to set the new standard in financial services in Brazil. We see a significant opportunity in the credit card market in Brazil as it is currently commoditized and extremely inefficient, and therefore our first product is a credit card controlled by a mobile app, that also provides our customers full control of their finances on their mobile phones. We are based in São Paulo, Brazil. What will you do:Be a iOS engineer building and advocating delightful user experiences on iOS.Guide our project teams by creating technical designs, leading development on high priority development components, and championing best practices. Work on complex and forward thinking solutions every day. Contribute to open source projects, sharing your work not just with internal projects but to the wider iOS community. (We love and support the open source community.) Have a voice in your project's direction, and you'll work with talented in-house designers to bring stunning interfaces to life. You will fit well if:You thrive in dynamic, fast-paced, results oriented teamsYou are hungry and enjoy being constantly challenged to learn and do moreYou embrace conflict of ideas and like to question the status quoYou learn fast and easily adapt to changing situations and prioritiesYou believe in building great products and doing great workYou want to understand the big picture, to be held accountable and make a meaningful contribution with your workYou will have a meaningful chance to shape architecture, process, and culture while working with bleeding edge technologies. We believe in good team chemistry, enthusiasm for building things, and our surprising capacity to learn new things when we stay humble and open-minded.REQUIREMENTS2 years of development experience, with at least 1 year of experience building applications on iOS.In-depth experience working with Objective-C, Xcode, and Instruments. (Swift still on Development :))A working knowledge of core iOS frameworks. You’ve developed apps using REST, JSON and XML web services, and you have a good understanding of SOLID principles.Experience collaborating on software projects and working in a team environment.Strong debugging skillsKnowledge of algorithms and data structures Competitive compensation packageHealth, dental and life insuranceMeal allowance (“vale refeição”)Flexibility to choose your own custom setup (computer, monitors, OS etc.)"
Bossman,0,"Bossman We've been hailed as the next big thing by Wired, The New York Times, Gigaom, TechCrunch, CNN, you name it, they like us. Basically, we're going places and we'd like to take you along with us. You'll get to work along side some of the best minds in the tech industry, who are as eager to learn from you, as you are from them.The work you do will have an immediate and tangible impact on our user base and you'll be supported every step of the way. Don't worry if we don't have an opening, for the right person, we'll make one. If you think you have what it takes to help us keep growing and disrupting, get in touch. Responsibilities:- Drive product development through the entire development cycle, from concept to launch- Work with multiple business units to establish feature requirements, define success metrics, coordinate deliverables, and evaluate after launch- Ensuring the project team has the necessary skills to guarantee delivery- Establishing a reporting structure and escalation process- Conducting regular individual and team reviews to monitor progress against objectives, ensuring that all necessary products and services are in place to the agreed project plan. esired Experience:- Excellent communication skills. Ability to build trust and forge strong, long-lasting relationships- Ability to work well under pressure and spin multiple plates- Excellent organizational skills, results oriented with good attention to detail- Team player with strong work ethic and ability to adapt to change- Strong analytical and problem solving skills- 3+ years in a management position esired Experience:- Excellent communication skills. Ability to build trust and forge strong, long-lasting relationships- Ability to work well under pressure and spin multiple plates- Excellent organizational skills, results oriented with good attention to detail- Team player with strong work ethic and ability to adapt to change- Strong analytical and problem solving skills- 3+ years in a management position"
2015 Undergrad- Institutional Sales Associate,0,"2015 Undergrad- Institutional Sales Associate Green Street Advisors is the industry leader in real estate and real estate investment trust (REITs) research for over 25 years. Our dedicated research professionals generally cover far fewer companies per researcher than is typical for a securities firm. This specialization, coupled with our independence, allows for exceptionally detailed and timely analytical work while avoiding the conflicts of interest.  Our firm employs over 30 research professionals covering over 100 publicly-traded REITs and all major real estate sectors in North America and Europe. Our mission is to provide unparalleled insight, advice, and service to knowledgeable investors looking to execute the best possible public and private real estate capital allocation decisions. The success of our firm is evident in our proven track-record. View our track record here: #URL_8e9a08c6476d6ea9f4de917acd0dca365e4c56d3a200a78a61d15d19e538f251#  Green Street's North American headquarters is in Newport Beach, California, and our trading desk is in Dallas, Texas. Green Street's European headquarters and trading desk are located in London. Open to graduating Seniors of the Class of 2015 only.Founded in 1985, Green Street Advisors is the preeminent independent research, trading, and consulting firm concentrating on Real Estate Investment Trusts (REITs), other publicly traded real estate securities, and the private commercial real estate markets in North America and Europe. Green Street Advisors seeks highly motivated candidates with relevant internship experience, a passion for finance and real estate, and superior academic credentials to join its Institutional Sales team. The Institutional Sales Associate will be responsible for the following key job functions:Act as lead account manager for select institutional accounts. To include calls and emails to portfolio managers and analysts to convey research and stock recommendations.Support facilitation of new business processMaintain databases, including updating and analyzing data for trends and possible process improvementOrganize weekly research feedback from sales and trading team and consolidate the information into written form for distribution to analystsCoordinate client visits, including research, sales and company visits.Host sales calls for clients with research analysts and provide written notes to the sales teamRequires high level of professional conduct, organization and ability to convey complex messages while handling client information with discretionWilling to prove through consistent performance the ability to handle expanding responsibilities. A Bachelors degree with high distinction in finance, accounting, real estate, economics, or a related field0-2 years of experience or strong interest in sales, financial services, securities analysis, general securities, capital markets. Financial or technically related sales experience a significant benefitAbility to work early mornings (market hours) and make themselves available to both internal and external clients regularlyStrong work ethic and motivation to learn, meticulous attention to detail, exceptional research and communication (both written and verbal), high level of organization, creativity and resourcefulnessExtroverted, client centric, sales driven personality. Results oriented, proactive self-starter who takes direction wellAbility to work in a collaborative team environmentPossess strong analytical skills with the ability to convey research conceptsExpert knowledge of Microsoft ExcelAbility to obtain Series 7 and 63 licenses within 60 days of employment Green Street Advisors offers a competitive salary and benefits package that includes health, dental, life insurance, long term disability, paid vacation, holidays, and a 401(k) match.  We also offer voluntary benefits such as flexible spending and vision.Green Street Advisors, Inc. is an Equal Opportunity Employer"
Event Specialists,0,"Event Specialists We are a digital marketing agency with an emphasis upon quality development that is developed and sold in a consultative custom manner to fit each and every one of our customers like a glove - every time. We are seeking entry level and experienced sales representatives/ event coordinators/and management representatives.You will be hosting and attending local events. At those local events you will be selling our recession proof service that is used all over the world by millions. You will never run out of potential applicants to sign up. The position is 80% hosting events and 20% phone work, as you will have to coordinate with and get the proper permissions to setup the events. This position offers career stability and exceptional room for growth. You will have to pass a criminal background check to be hired.The Event Specialist Position: Pays a base/plus bonus and is entry level.The Event Specialist Manager Position: Pays a base/plus bonus/plus team overrides and you would need to have management experienceThe Event Team Builder Position: In this position you would be your own agency owner, therefore your pay would be discussed during the interview.  Backgrounds in these areas work well in this position:Customer Service (In a Sales Environment)Management Inside SalesOutside SalesAdvertisingMarketingBrand AmbassadorsEvent Booth SalesEvent Coordination Full Time WorkExperience is not necessary as we will provide paid full training!A weekly base of $300 plus bonus (with bonus you should make $750 to $1,000 a week)We pay twice a month on the 15th and 30thAnd Much More"
Commercial Lawyer,0,"Commercial Lawyer With offices across UK, mainland Europe, Australia, New Zealand, and the United States, Squiz helps clients across the globe to engage their audiences online. We don't just build websites; we build the technology that powers them.But brilliant technology is only half the story. To build great websites, you need to truly understand your clients (and their customers too). Which is why 'engaging people' is not just our tagline – it's our promise. Squiz is all about people, innovation, and service. We are an Australian owned, multinational software and professional services group in the web engagement space.Our Content Management System (Matrix) is a market leader, and our business model is solutions-focused and fast-paced. We continue to be internationally critically acclaimed, including repeat listings on the Gartner Magic Quadrant. We’ve developed a number of other exciting technologies including Funnelback (a specialist Enterprise Search solution) and Roadmap (an ideation and social collaboration solution).To complement the ongoing growth and changing dynamics of our delivery to our clients we’re looking for a part-time Commercial Lawyer to join our growing team in Shoreditch, London. Desired Skills and ExperienceTo be successful and add value to Squiz in this position you will be expected to be adept at:drawing on your significant commercial legal experience accumulated to date, applying this knowledge to various aspects of Squiz’s operationstranslating commercial realities and positions into efficient, logical legal argumentsnegotiating with a proactive, pragmatic mindset within parameterscommunicating legal positions in plain English to a range of internal and external stakeholders, of varying levels of understanding of basic lawreviewing, developing, maintaining and updating a broad suite of legal templatesWe’d expect the essentials for a candidate to succeed and flourish with this opportunity to include:at least 8 years PQEa flexible, solutions-focussed, results driven approacha “roll up the sleeves” attitudeexcellent time management and the ability to manage multiple competing prioritieseffective communication and interpersonal skillsThis is a part-time opportunity of 20 hours per week, ideally which would be achieved by 4 hours per day, the times of which are flexible to suit your existing commitments. The opportunity to fulfil part of this time working from home would exist for the right candidate once familiar with the business.Squiz is proud of its collaborative, inspirational and energetic culture. We are made up of a diverse range of passionate people who love challenging the status quo. If you are interested in joining us on the journey, we look forward to speaking with you "
Home Based Commission Roles,1,Home Based Commission Roles  A Variety of Commission based jobs available.Visit: #URL_0a7c4df3a2fd5dd5a67beb9cf6c0ba4f8d53ae8372db9449011f37a9deaf7e64# Internet AccessHome PC or LaptopCommitment Great CommissionBe you own BossHours to Suit
Marketing Intern,0,"Marketing Intern As a growing and successful startup, Conversocial is a great place to work for ambitious individuals.We build a market leading social customer service solution, and we need even more great people to help us push that position even further. You’ll get the opportunity to work in an exciting new market, where we’re helping companies to understand the solution to their problems and are changing the way they interact with consumers.We have a trusting, hands-off management style, which is suited for people that are self-motivated.Our employees have the opportunity for independence and responsibility over their own projects, but we provide all the support and training they need to get there and to develop their careers.At Conversocial we like to balance work and play.We eat lunch together everyday (a company perk) and all enjoy a Friday treat of cake and few drinks. Our close-knit team is very sociable, which makes the Conversocial office a relaxed, fun and supportive working environment. Ever Tweeted a big brand and they responded back to you in lightning fast time? There’s a pretty good chance that company used Conversocial to reply to you!Conversocial is a cloud solution that enables businesses to deliver customer service over social media at a large-scale. We work with hundreds of brands worldwide, including Google, Volkswagen, The University of Phoenix and Hertz.We’re looking for a bright, driven and ambitious intern to work on a number of exciting and high-impact projects with our fast-growing team of marketing professionals from leading companies including Google, Salesforce, and Thomson Reuters.You’ll have the chance to learn critical marketing foundations including:Sales enablement: Make our sales machine run even smoother by helping us refine and segment our database/CRMWeb design: Be our webmaster, updating our website and honing your web design skillsMarket research: Learn about our market, research potential targets, seeing first-hand how social media is transforming how companies and customers interactCampaign execution: Run campaigns that get in front of our audience, using tactics such as email, social media, blogging and advertising Qualifications and Requirements:Must be currently enrolled in a 4 year accredited university as an undergradAbility to commit to at least 15 hours a weekInterest in learning marketing/sales automation tools (Experience with Hubspot and Salesforce is a plus but not required)Knowledge of HTML and CSSModerate to advanced experience with Microsoft Excel  (and eager to quickly improve skills)Attention to detail- must be very detail oriented and organizedGood organizational and time-management skillsAbility to shift priorities and help other team members as needed PerksEntry into a super fast-growing startup, and ability to jump into the NYC tech community.Free lunch—every day.Unlimited coffee, espresso and tea. And tons of snacks.Regular office outings and a fun place to work!And yes, this is a paid internship :)"
Urgently Required J2EE Developer for  Bahrain,1,"Urgently Required J2EE Developer for  Bahrain  Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Information Technology Development, Telecom, Aviation, Retail Management &amp; eGovernment offeringsVAM SYSTEMS is currently looking for J2EE Developer for our Bahrain operations .Education Bachelor’s degree in computer science / IT.J2EE Certification.Terms and conditions: Joining time frame:   immediate (maximum 2 weeks)The selected candidates shall join VAM SYSTEMS – Bahrain and shall be deputed to one of the leading Organizations in Bahrain.Should you be interested in this opportunity, please send your latest resume in MS Word format at the earliest at #EMAIL_b08cf5e4101b4b7b7594fe3081f94f7f9a0f2d6192fb5d4a1a72ecf03c816e83#  or call us +91 #PHONE_df058aa8cbf405b99c6fc6459e7085be12bce0e56bcafe7d52281b99685a4a0f#.   Skillset required:2-3 years of J2EE experienceExperience of Requirements GatheringExperience in RDBMS and JDBC, jBOSS, WebSphere, EJB,SOA ,Linux, LDAP, Design Patterns, Methodologies (e.g Agile, Waterfall)Strong support experience in websphere Portal.Should have experience in payment systems.Development in a load-balanced environmentStrong analytical skillsExcellent written and communication skillsResponsibilities: Undertake development work on new and existing applicationsInvolve/support formal analysis of user requirements with regard to new and existing systems, and to provide appropriate design documentationEnsure the developed software is robust and meets the user’s functional requirementsEnsure the developed software has undergone unit and system testing prior to handover to the Testing and Integration TeamInvolve support the estimation, design and impact analysis for the tasks that have been delegated to the team.Involve/support proactively with an environment of closely managed projects, providing regular task updates and supporting project management processes.Design and develop enterprise-scale applications on Java/J2EE Platform in accordance with agreed standards and proceduresSupport and maintain developed applications in line with predefined service levels  "
Project Manager,0,"Project Manager CloudSymphony is a leading European Salesforce Consulting Partner. Over the past two years, CloudSymphony has built an enviable reputation and is now the leading Salesforce Foundation Partner in the UK and the most recommended Partner to the UK Charity and Education sectors. We are seeking a Project Manager, with previous experience of working on large projects (ideally CRM / software focused). You will be experienced in managing projects within a consultancy environment and have completed a number of 200+ day projects. You will be responsible for leading the team in delivering viable, quality Salesforce implementations within agreed timescales, that meet and exceed the clients expectations. You will be working directly with your clients on customer facing projects; and on some of the most exciting and rewarding Salesforce projects in the UK Charity and Education sectors.You will have the opportunity to spend time on-site with your clients, but it is also important to us that you spend time with your peers to learn, develop and build strong relationships. Key RequirementsIdeally 3 years + Project Management experience within a consulting environment (ideally CRM / software)Ideally experience working within the Charity and/or Education sectorsProven experience in managing the 360 degree project lifecycle, including managing project stakeholder relationships / clientsA firm understanding of one or more established Project Management methodologies - ideally Scrum Master certifiedSome knowledge of Salesforce would be an advantage but is not essentialWorking closely with technical and functional teamsAbout youYou will be driven by working for a company that focuses on the Charity &amp; Education sectorYou won’t be afraid to challenge people in order to find the best solutionAs an experienced Project Manager you will be used to dealing with multiple projects and environmentsSelf motivation, dedication and autonomy are essential  Additional InformationWe have a competitive compensation packageWe are looking for people who are passionate about working within the charity &amp; education sectorFlexibility and willingness to travel to client sitesTeam players with strong communication and interpersonal skillsPlease note: due to timescales we are unable to offer sponsorship for this role"
Sr. Systems Engineering Manager,1,"Sr. Systems Engineering Manager                                                                                  Staffing &amp; Recruiting done right for the Oil &amp; Energy Industry!Represented candidates are automatically granted the following perks: Expert negotiations on your behalf, maximizing your compensation package and implimenting ongoing increases Significant signing bonus by Refined Resources (in addition to any potential signing bonuses our client companies offer)1 Year access to AnyPerk: significant corporate discounts on cell phones, event tickets, house cleaning and everything inbetween.  You'll save thousands on daily expenditures Professional Relocation Services for out of town candidates* All candidates are encouraged to participate in our Referral Bonus Program ranging anywhere from $500 - $1,000 for all successfully hired candidates... referred directly to the Refined Resources teamPlease submit referrals via online Referral FormThank you and we look forward to working with you soon!  [ Click to enlarge Image ]  SUMMARY:   The Sr. Systems Engineering Manager is responsible for defining product system architecture including chipset selection, HW architecture, HW/FW split, system memory requirements and SW architecture for all Service Provider Business Unit products. This will include developing and maintaining products functional specifications, technical presentations, RFP responses and technical articles (white papers, case studies, and trade pub article placements). The systems architect works closely with Product Line Managers (PLMs), R&amp;D, HW &amp; Software development teams and ODM partners to ensure all key aspects of the systems architecture are addressed and implemented for success of the product line. ESSENTIAL DUTIES AND RESPONSIBILITIES:- Review product requirements and define system architecture to meet the requirements.- Will be the owner of product system definition for all SPBU products.- Will participate in technical discussions with customer to present strengths of product architecture.- Review all new designs and implementations to ensure minimal deviation from existing architecture.- Defines, constantly reviews, and differentiates the feature sets of the entire product line and individual products active in the product life cycle.- Provide input for developing compelling and comprehensive product collateral to support SPBU Marketing and Sales teams for pre-sales and post-sales activities. Collateral includes Datasheets, Product Briefs/Slicks, White Papers, Case Studies, Product Presentations, and when needed, Videos.- Takes the role as internal expert as well as external spokesperson and evangelist for SPBU Products architecture.- Working closely with the software team, help develop a strong patent portfolio.- Provide technical leadership in responding to RFIs and RFPs.- Take high level feature requirements from marketing teams and customers and write detailed feature specifications and system architecture for the software team.- Work closely with partners to define architecture and testable requirements for taking new products and features to market. QUALIFICATIONS: Strong technical background, with prior experience working with Service Providers in the Telco, Cable and/or Mobile space.Must have the ability to transform abstract concepts into a concise, clear and structured requirement  documents including presentations and technical briefs. Ability to take a new technical standard, understand and translate detailed system architecture Strong understanding of networking and consumer electronics, technology and products related to product line.Good interpersonal skills and able to work well with people from all regions at all technical and management levels.Mature communication with partners, peers and managers.  Skillful verbal and writing abilities and effective presentation skills.Five to seven years of system architecture in telecom and networking experience with demonstrated knowledge of technology, industry and branding.Thorough understanding of the service provider market is a must.Demonstrated leadership skills to focus internal resources, coordinate R&amp;D and coordinate business partners. - Past background in system development including HW and SW is a must.B.S./ In Computer Science or Electrical Engineering. WHAT IS BEING OFFERED:- Very competitive base salary- 30% bonus structure, guaranteed, annually.- Significant stake in equity/stock options.- Full benefits package along with many perks.- Opportunity for Executive-level advancement and career leverage.- World renowned leadership, mentorship and a very attractive culture/working environment.  "
Payroll Clerk,1,"Payroll Clerk Basil Lifecare Pvt. Ltd. is a Wellness &amp; Preventive Healthcare Company dealing in IT enabled wellness services that focuses on turning technology into caring. Our vision is to pioneer the integration of technology in the wellness sector through our IT and ITES solutions. We have comprehensive preventive healthcare solutions for Corporates, Schools, Central Armed Police Forces, other groups and individuals to achieve Wellness and live a better and balanced life. We are seeking a full time Payroll Clerk to manage day to day accounting for our operation.PAY SCALE : $25/hr• Maintains financial controls including shrink, payroll and other operating expenses, rebates .• Maintaining proper inventory controls, facilitate inventory transactions and maintain compliance standards for shrink control• Monitor sales activities to ensure that customers receive satisfactory service. • High school diploma or equivalent• Excellent communication and organizational skills.• Ability to work a flexible schedule• Ability to perform mathematical calculations such as addition, subtraction, multiplication, division, and percentages. We offer a competitive salary and benefits package that includes health and dental insurance, paid vacation, a 401(k) plan, paid training, and much more. Ready for some rapid growth of your own."
.Net Developer - New Product to Market,0,".Net Developer - New Product to Market ClearPoint are masters of software engineering, designing seriously clever solutions for big business and savvy start-ups in New Zealand, Australia and around the world. ClearPoint provides IT strategy and architecture, enterprise software development and IT project delivery services.We believe that trust and integrity are at the heart of exceptional software; trust that the technology does everything we promise and more besides. We believe in high performance, producing outstanding solutions that adapt readily to change.There’s a sizzle to our services that sets us apart. We avoid assumptions. We turn things on their heads if needed. Our approach leads to exceptional results for our clients. We change their game in business with software that shows them off as innovators in their field.We design, build and run software that can be relied on. If you want exceptional software that you can trust, let’s start talking. For the second year running, our very smart technologists have voted us into the finals of the IBM Kenexa Best Workplaces in New Zealand.  No mean feat - we're up against some other top growing businesses.  What makes us stand out is those aforementioned technologists, what they get to work on and who they get to share their days with.From two to 140 people strong over seven years, with 50 Developers/BA's/PM/Architects et al added this year alone, we are certainly on the crest of an amazing wave of growth.Based in our self named building on Auckland's Fanshawe Street and with a newly formed office in Wellington's CBD, we have work we are delivering around the globe.  From the design and build of mobile apps and the support that follows an great delivery, our team are given the opportunity to work to Feature Driven Development, in executing award winning solutions - thanks Fonterra! With six years excellent services delivery behind us, ClearPoint set about building our first product - a white label, platform as a service offering.  Sitting in the Funds Management space, we've had a tremendous team building this for us in 2014.  Now we are ready to engage and develop an Intermediate Level .Net Developer, with the best of both worlds available - sexy new product in a successful services business.At our core we are software engineers. We do IT strategy and architecture, enterprise software development and IT project delivery services. But there’s a creative flair, a sizzle to our services that sets us apart. We approach projects from scratch without making assumptions. We’ll turn things on their head if that’s what is needed. Our way of working leads to exceptional results; results that change your business game. We'll pay you what the market says we should.All work is delivered on the latest, leading edge tech.Clients are the reason we exist.  We live for them.Work is personal.  Performance matters, results count.Trust.  People with integrity.Talent trumps every time.  Skill and attitude combined.New Zealand pragmatism.  Local knowledge matters.High technology.  Be inspired."
